symbol,date,time,open,high,low,close,volume
TSLA,2026-02-02,09:30:00,421.29,421.7,417.13,417.6774,1294862.0
TSLA,2026-02-02,09:31:00,417.655,417.7799,415.361,416.02,692201
TSLA,2026-02-02,09:32:00,415.91,417.7299,415.74,416.26,502481
TSLA,2026-02-02,09:33:00,416.2,416.69,414.75,414.95,803411
TSLA,2026-02-02,09:34:00,414.955,415.48,414.5,415.36,480516
TSLA,2026-02-02,09:35:00,415.2801,416.38,415,416.22,438732
TSLA,2026-02-02,09:36:00,416.15,416.99,416.02,416.545,436394
TSLA,2026-02-02,09:37:00,416.61,417.98,416.22,417.0499,510818
TSLA,2026-02-02,09:38:00,417.0375,417.53,416.06,416.7,341536
TSLA,2026-02-02,09:39:00,416.63,417.3699,416.61,417.2,256412
TSLA,2026-02-02,09:40:00,417.29,417.38,416.15,416.5,369099
TSLA,2026-02-02,09:41:00,416.5899,417,416.05,416.2254,298030
TSLA,2026-02-02,09:42:00,416.31,417.1882,416.2,416.62,277151
TSLA,2026-02-02,09:43:00,416.67,417.9,416.436,417.415,297051
TSLA,2026-02-02,09:44:00,417.47,418.82,417.4601,418.78,356255
TSLA,2026-02-02,09:45:00,418.818,419.2999,418.13,418.2051,368591
TSLA,2026-02-02,09:46:00,418.2051,419.6699,418.06,419.64,327552
TSLA,2026-02-02,09:47:00,419.625,419.76,419,419.38,270739
TSLA,2026-02-02,09:48:00,419.355,419.41,417.98,418.39,288007
TSLA,2026-02-02,09:49:00,418.3999,419.92,418.22,419.8585,309626
TSLA,2026-02-02,09:50:00,419.8636,420.42,419.42,420.175,325474
TSLA,2026-02-02,09:51:00,420.17,420.3,419.6,419.71,245205
TSLA,2026-02-02,09:52:00,419.653,420.57,419.58,420.49,216704
TSLA,2026-02-02,09:53:00,420.46,420.72,420.2001,420.5,195514
TSLA,2026-02-02,09:54:00,420.425,420.7099,419.61,419.66,167734
TSLA,2026-02-02,09:55:00,419.69,419.8,418.86,419.0586,233355
TSLA,2026-02-02,09:56:00,419.03,419.17,418.23,418.255,261540
TSLA,2026-02-02,09:57:00,418.25,418.91,418.07,418.805,218979
TSLA,2026-02-02,09:58:00,418.83,418.8699,418.07,418.1393,153822
TSLA,2026-02-02,09:59:00,418.11,418.4,417.25,417.3,264371
TSLA,2026-02-03,09:30:00,424.27,424.32,422.2685,422.9802,619471
TSLA,2026-02-03,09:31:00,423.1049,423.39,421.07,421.855,393690
TSLA,2026-02-03,09:32:00,421.795,422.5,420.75,421.71,356455
TSLA,2026-02-03,09:33:00,421.77,424.45,421.6,423.935,375309
TSLA,2026-02-03,09:34:00,423.935,425.19,422.98,424.888,327728
TSLA,2026-02-03,09:35:00,424.8898,424.97,422.71,423.085,281971
TSLA,2026-02-03,09:36:00,422.99,424.69,422.88,424.63,213845
TSLA,2026-02-03,09:37:00,424.7,425.18,423.6,424.875,267131
TSLA,2026-02-03,09:38:00,424.84,425.51,423.66,424.625,229352
TSLA,2026-02-03,09:39:00,424.69,424.7499,422.68,422.9875,273815
TSLA,2026-02-03,09:40:00,422.955,423.7099,421.82,422.2712,284459
TSLA,2026-02-03,09:41:00,422.24,422.25,421.42,421.5762,239050
TSLA,2026-02-03,09:42:00,421.595,422.21,421.2,421.7945,193049
TSLA,2026-02-03,09:43:00,421.825,421.89,420.31,420.945,316651
TSLA,2026-02-03,09:44:00,420.945,422.58,420.823,422.5505,245837
TSLA,2026-02-03,09:45:00,422.53,423.51,422,423.45,286694
TSLA,2026-02-03,09:46:00,423.41,423.93,422.51,423.68,225628
TSLA,2026-02-03,09:47:00,423.69,424.66,423.48,424.345,219493
TSLA,2026-02-03,09:48:00,424.375,424.74,423.81,424.41,222495
TSLA,2026-02-03,09:49:00,424.43,424.7,423.93,424.1929,158707
TSLA,2026-02-03,09:50:00,424.14,424.15,423.15,423.385,184571
TSLA,2026-02-03,09:51:00,423.375,424,423.01,423.165,119872
TSLA,2026-02-03,09:52:00,423.23,423.536,422.65,423.4601,156003
TSLA,2026-02-03,09:53:00,423.56,423.6,422.975,423.1,112560
TSLA,2026-02-03,09:54:00,423.105,423.28,421.8571,421.905,182801
TSLA,2026-02-03,09:55:00,421.85,421.96,420.7,420.7999,256967
TSLA,2026-02-03,09:56:00,420.73,421.125,420.08,420.08,270155
TSLA,2026-02-03,09:57:00,420.0801,420.93,420.06,420.875,176263
TSLA,2026-02-03,09:58:00,420.82,421,420.21,420.435,158886
TSLA,2026-02-03,09:59:00,420.35,420.715,420.11,420.485,115977
TSLA,2026-02-04,09:30:00,420.46,420.99,418.5701,418.849,428515
TSLA,2026-02-04,09:31:00,418.82,420.1,418.4,419.115,278095
TSLA,2026-02-04,09:32:00,419.1125,419.7,418.01,418.235,281415
TSLA,2026-02-04,09:33:00,418.1501,418.89,417.51,418.27,253621
TSLA,2026-02-04,09:34:00,418.35,419.32,417.59,418.2915,259487
TSLA,2026-02-04,09:35:00,418.34,422.06,418.1262,422,366747
TSLA,2026-02-04,09:36:00,422.08,422.5,420.41,420.495,327396
TSLA,2026-02-04,09:37:00,420.44,421,419.79,420.79,190434
TSLA,2026-02-04,09:38:00,420.8,422.4,420.51,422.19,268031
TSLA,2026-02-04,09:39:00,422.145,423.45,421.67,423.2,340902
TSLA,2026-02-04,09:40:00,423.16,423.49,422.7873,422.7986,260621
TSLA,2026-02-04,09:41:00,422.77,423.67,422.66,423.455,275352
TSLA,2026-02-04,09:42:00,423.455,423.73,422.1181,422.4534,239851
TSLA,2026-02-04,09:43:00,422.49,423.7099,422.4,423.34,242789
TSLA,2026-02-04,09:44:00,423.37,423.4199,422.4,422.49,160172
